0,4,0.63
0,5,0.45
0,7,0.37
0,8,0.09
0,9,0.3
0,10,0.36
0,11,0.79
0,12,0.54
0,13,0.71
0,14,0.14
0,15,0.11
0,16,0.57
0,17,0.11
0,18,0.37
0,19,0.97
0,20,0.52
0,21,0.7
0,22,0.81
0,23,0.3
0,24,0.34
0,25,0.89
0,26,0.85
0,27,0.95
0,28,0.09
0,29,0.86
0,30,0.25
0,31,0.05
0,32,0.01
0,33,0.83
0,34,0.72
0,35,0.59
0,36,0.82
0,37,0.87
0,38,0.77
0,39,0.13
0,40,0.48
0,41,0.81
0,42,0.09
0,43,0.6
0,44,0.71
0,45,0.69
0,46,0.22
0,47,0.61
0,48,0.52
0,49,0.78
0,50,0.06
0,51,0.22
0,52,0.38
0,53,0.71
0,54,0.55
0,55,0.29
0,56,0.51
0,57,0.98
0,58,0.45
0,59,0.82
0,60,0.03
0,61,0.57
0,62,0.17
0,63,0.03
0,64,0.65
0,65,0.4
0,66,0.02
0,67,0.09
0,68,0.4
0,69,0.29
0,70,0.63
0,71,0.09
0,72,0.96
0,73,0.93
0,74,0.6
0,75,0.36
0,76,0.51
0,77,0.56
0,78,0.64
0,79,0.91
0,80,0.31
0,81,0.98
0,82,0.8
0,83,0.1
0,84,0.27
0,85,0.72
0,86,0.64
0,87,0.37
0,88,0.95
0,89,0.25
0,90,0.19
0,91,0.32
0,92,0.61
0,93,0.39
0,94,0.04
0,95,0.43
0,96,0.69
0,97,0.33
0,98,0.38
0,99,0.49
0,100,0.55
0,101,0.36
0,102,0.65
0,103,0.69
0,104,0.9
0,105,0.94
0,106,0.43
0,107,0.39
0,108,0.28
0,109,0.52
0,110,0.05
0,111,0.38
0,112,0.96
0,113,0.87
0,114,0.91
0,115,0.37
0,116,0.92
0,117,0.77
0,118,0.25
0,119,0.28
0,120,0.55
0,121,0.62
0,122,0.28
0,123,0.18
0,124,0.99
0,125,0.67
0,126,0.87
0,127,0.6
0,128,0.47
0,129,0.73
0,130,0.85
0,131,0.2
0,132,0.84
0,133,0.24
0,134,0.13
0,135,0.67
0,136,0.93
0,137,0.49
0,138,0.78
0,139,0.65
0,140,0.53
0,141,0.56
0,142,0.27
0,799,0.44
